paper_id,uq_reported,uq_method,uq_validated,evidence_anchor,evidence_summary,validation_rationale,verification_basis,coder_count
C01,no,none,no,"full text pp. 1-16; Methods pp. 5-9; Results pp. 9-12","The implemented model reports point RUL predictions evaluated by RMSE and NASA/PHM08 Score. Uncertainty appears only in background citations or generic motivation, not as a predictive output.","No predictive interval, distribution, set, or nominal-versus-empirical coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C02,no,none,no,"full text pp. 1-10; Results pp. 7-8","The GCU-transformer produces point RUL estimates and reports point-error metrics; Bayesian material occurs only in related work.","No predictive uncertainty output or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C03,no,none,no,"full text pp. 1-16; Results pp. 8-14","The paper reports point RUL predictions. Mean and standard deviation over repeated model runs and the ablation called knowledge uncertainty concern run variability or sensor-relationship assumptions, not predictive uncertainty for an individual RUL prediction.","No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C04,no,none,no,"full text pp. 1-12; Methods pp. 4-7; Results pp. 8-10","The ensemble is used to produce a point RUL estimate for maintenance decisions. Dataset descriptive standard deviations and best-of-run reporting are not predictive uncertainty outputs.","No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C05,multiple,multiple,no,"Methods pp. 2-4; Results pp. 7-8, Table 2 and Figs. 4-5","A Bayesian BiLSTM/FNN framework models epistemic and aleatoric uncertainty, uses stochastic forward passes, and outputs a predictive RUL distribution plus 95% intervals.","Selected-engine intervals are shown, but no aggregate nominal-versus-empirical coverage or calibration assessment is reported on an independent validation/test set.",local_pdf_preflight_pass,1
C06,interval,mc_dropout,no,"Methods pp. 2, 4-5; Results pp. 7 and 9, Section 4.4","Capsule dropout uses Monte Carlo sampling to generate RUL confidence intervals and prediction standard deviations; the paper proposes an uncertainty coverage score (UCS).","UCS scores interval reasonability rather than reporting empirical coverage/calibration against the nominal level on an independent untouched evaluation split; test metrics are also monitored across training/dropout choices.",local_pdf_preflight_pass,1
C07,no,none,no,"full text pp. 1-13; Results pp. 8-11","The attention-based TCN reports point RUL predictions and point-error metrics across sliding test samples.","No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C08,no,none,no,"full text pp. 1-10; Results pp. 6-7","The two-stream Bi-LSTM reports point RUL estimates with RMSE/NASA-style metrics; fold allocation does not create a predictive uncertainty output.","No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C09,no,none,no,"full text pp. 1-10; Results pp. 6-9","The global-attention model produces point RUL estimates and reports RMSE/Score comparisons.","No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C10,no,none,no,"full text pp. 1-4; Results pp. 3-4","The joint autoencoder-regression architecture selects and reports point RUL predictions; search across models and noise levels is not predictive UQ.","No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C11,no,none,no,"full text pp. 1-31; Methods pp. 7-16; Results pp. 17-24","The attention DAB-LSTM reports point predictions with RMSE, NASA Score, and MAE. Neither the paper nor its inspected supplement implements predictive intervals or distributions.","No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C12,no,none,no,"full text pp. 1-8; Methods/Results pp. 3-7","The study reports confidence intervals and dispersion for RMSE/NASA metrics across 30 independent reproductions. These quantify run-level performance variation, not uncertainty of an individual RUL prediction.","No predictive interval, distribution, set, or predictive coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C13,no,none,no,"remote exact full text; Experimental setup and Results and discussion sections in the 20-page institutional PDF","The CNN-GRU study reports point RUL predictions and mean plus standard deviation over three runs; explainability analysis does not provide predictive UQ.","No predictive interval, distribution, set, or coverage/calibration evaluation was found in the remotely assessed exact full text.",remote_exact_fulltext_no_local_preflight,1
C14,no,none,no,"full text pp. 1-52; statistical protocol pp. 22-30; Results pp. 25-39","The reported 95% confidence intervals, ANOVA, and Tukey analyses summarize performance across five seeds and protocol conditions. They are not prediction intervals for RUL outputs.","No predictive interval, distribution, set, or predictive coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C15,no,none,no,"full text pp. 1-21; Methods/Results pp. 8-18","Bootstrap 95% confidence intervals and Wilcoxon tests quantify performance-metric variation across seeds and window/batch configurations, not uncertainty of individual RUL predictions.","No predictive interval, distribution, set, or predictive coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C16,no,none,no,"full text pp. 1-12; Results pp. 7-10","The multi-resolution LSTM reports point RUL predictions and point-error metrics on C-MAPSS/N-CMAPSS.","No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C17,multiple,multiple,yes,"Methods pp. 4-6, Section 3.2; Results pp. 10-12, Tables 5 and 7","The Bayesian gated-transformer combines probabilistic weights, variational inference, adaptive MC-dropout sampling, and an aleatoric noise channel to output predictive distributions and 95% intervals.","Corresponding testing datasets are evaluated with PICP against the nominal 95% level plus PINAW, CWC, and NLL; Tables 5 and 7 explicitly flag undercoverage.",local_pdf_preflight_pass,1
C18,no,none,no,"full text pp. 1-19; Methods pp. 6-11; Results pp. 12-15","The operation-profile domain-adaptation method reports point RUL predictions and RMSE/NASA-style metrics in a transductive design.","No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C21,interval,other,no,"Methods/Results pp. 9-10, Eqs. 11-12, Table 4 and Fig. 6","ProgNet constructs Gaussian measurement-noise-based confidence intervals at 90%, 95%, and 99% and reports the ratio of predictions inside each interval.","The entire target dataset is used for fine-tuning, so the reported inside-interval ratios are not an independent validation/test coverage assessment under the frozen rule.",local_pdf_preflight_pass,1
