paper_id,title,year,venue,dataset_subsets,reported_rul_cap,cap_category,normalization_fit_scope,test_window_policy,validation_boundary,seed_reporting,repetition_count_reported,run_level_dispersion,rmse_nasa_pair,code_path,cmapss_all_four,n_cmapss_included,source_quality,verification_basis,protocol_notes
C01,A Deep Learning Model for Remaining Useful Life Prediction of Aircraft Turbofan Engine on C-MAPSS Dataset,2022,IEEE Access,C-MAPSS FD001; FD002; FD003; FD004,FD001=78; FD002=103; FD003=79; FD004=87,other_explicit,not_confirmed,endpoint_per_engine,unclear,not_reported,no,absent,yes,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass,"Validation set appears only as an undefined Algorithm 2 symbol; no validation split is constructed. Four architectures plus window/threshold grids are selected by the lowest reported RMSE/Score, so test-set reuse cannot be ruled out. The reported window 12 controls label-knee detection, not a documented LSTM sample window."
C02,Remaining useful life estimation via transformer encoder enhanced by a gated convolutional unit,2021,Journal of Intelligent Manufacturing,C-MAPSS FD001; FD002; FD003; FD004,125,cap_125,not_confirmed,endpoint_per_engine,unclear,not_reported,no,absent,no,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass,Model input sequence length and stride are not reported; convolution kernel size 3 is a GCU kernel and must not be treated as the sample window; validation construction is NR; hyperparameters are described as empirical
C03,Remaining useful life prediction of aero-engine enabled by fusing knowledge and deep learning models,2023,Reliability Engineering & System Safety,C-MAPSS FD001; FD002; FD003; FD004,125,cap_125,not_confirmed,endpoint_per_engine,separate_non_test,not_reported,yes,usable,yes,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass,Five percent of training samples are randomly selected for validation; allocation by engine versus window and the random seed are NR; early stopping uses 20 validation-loss epochs without improvement; formal issue year 2023 after 2022 online-first publication
C04,Dynamic predictive maintenance strategy for system remaining useful life prediction via deep learning ensemble method,2024,Reliability Engineering & System Safety,C-MAPSS FD001; separate PHM08 experiment,130,other_explicit,not_confirmed,endpoint_per_engine,unclear,not_reported,yes,absent,yes,none_or_nonreproducible,no,no,C,local_pdf_preflight_pass,A validation dataset is repeatedly used for tuning but its construction is NR; Table 3 emphasizes best-of-10 RMSE=13.22 and Score=232.24 while means are 13.77 and 269.88; the official test protocol and the separate maintenance split must not be conflated
C05,A prognostic driven predictive maintenance framework based on Bayesian deep learning,2023,Reliability Engineering & System Safety,C-MAPSS FD001,125,cap_125,not_confirmed,endpoint_per_engine,unclear,not_reported,yes,absent,yes,none_or_nonreproducible,no,no,C,local_pdf_preflight_pass,Cross-validation is mentioned for loss-weight tuning without fold or allocation details. The official test evaluation and the separate 80/20 split of complete training trajectories serve different purposes and must not be conflated. Table 1 reports one aggregate SC/RMSE/AC row after 20 simulations without run-level dispersion.
C06,Sensor-aware CapsNet: Towards trustworthy multisensory fusion for remaining useful life prediction,2024,Journal of Manufacturing Systems,C-MAPSS FD001; FD002; FD003; FD004,NR,unreported,train_or_source_only,endpoint_per_engine,test_monitored_or_tuned,not_reported,no,absent,yes,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass,"The paper evaluates test datasets at every training epoch to plot UCS/RMSE and compares dropout 0.5/0.7/0.9 using test metrics; this creates test-monitoring and selection risk. Training augmentation uses Gaussian noise, random scaling and random amplification"
C07,An attention-based temporal convolutional network method for predicting remaining useful life of aero-engine,2024,Engineering Applications of Artificial Intelligence,C-MAPSS FD001; FD002; FD003; FD004,125,cap_125,not_confirmed,all_window_or_chunk,unclear,not_reported,yes,absent,yes,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass,No validation split or grid-search selection set is reported; hyperparameters are chosen by grid search. Testing all overlapping windows differs from the standard one-endpoint-per-engine policy and changes the metric denominator
C08,Bi-LSTM-Based Two-Stream Network for Machine Remaining Useful Life Prediction,2022,IEEE Transactions on Instrumentation and Measurement,C-MAPSS FD001; FD002; FD003; FD004,125,cap_125,not_confirmed,endpoint_per_engine,unclear,not_reported,no,absent,yes,some_code_path,yes,no,C,local_pdf_preflight_pass,"Training data are divided into five folds and four folds are used at each epoch; fold rotation, held-out-fold purpose, and engine-versus-window allocation are not specified; normalization fit scope and seed are NR"
C09,Global attention mechanism based deep learning for remaining useful life prediction of aero-engine,2023,Measurement,C-MAPSS FD001; FD002; FD003; FD004,125,cap_125,not_confirmed,endpoint_per_engine,test_monitored_or_tuned,not_reported,no,absent,yes,none_or_nonreproducible,yes,no,C,local_pdf_preflight_pass,"Reported training-sample counts are incompatible with the stated window lengths and standard subset trajectory totals. Reduction ratio r=2 is selected by comparing test RMSE/Score across r values, an explicit test-set tuning risk; no validation split is reported"
C10,Remaining Useful Life Prediction on C-MAPSS Dataset via Joint Autoencoder-Regression Architecture,2022,30th Signal Processing and Communications Applications Conference (SIU),C-MAPSS FD001,120,other_explicit,train_or_source_only,unclear_or_nonindependent,unclear,not_reported,no,absent,yes,none_or_nonreproducible,no,no,C,local_pdf_preflight_pass,"No validation split or fitness-data boundary is reported. The best result is selected from 300 models, then the top 50 are refined with two noise levels and pruning and the best is again reported, creating severe best-of-search/test-reuse risk. Local IEEE PDF is user-entitled and redistribution-restricted"
