paper_id,title,year,venue,doi,dataset_subsets,uq_reported,uq_method,uq_validated,evidence_anchor,evidence_summary,validation_rationale,verification_basis,coder_count
C01,A Deep Learning Model for Remaining Useful Life Prediction of Aircraft Turbofan Engine on C-MAPSS Dataset,2022,IEEE Access,10.1109/access.2022.3203406,C-MAPSS FD001; FD002; FD003; FD004,no,none,no,full text pp. 1-16; Methods pp. 5-9; Results pp. 9-12,"The implemented model reports point RUL predictions evaluated by RMSE and NASA/PHM08 Score. Uncertainty appears only in background citations or generic motivation, not as a predictive output.","No predictive interval, distribution, set, or nominal-versus-empirical coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C02,Remaining useful life estimation via transformer encoder enhanced by a gated convolutional unit,2021,Journal of Intelligent Manufacturing,10.1007/s10845-021-01750-x,C-MAPSS FD001; FD002; FD003; FD004,no,none,no,full text pp. 1-10; Results pp. 7-8,The GCU-transformer produces point RUL estimates and reports point-error metrics; Bayesian material occurs only in related work.,No predictive uncertainty output or coverage/calibration evaluation is reported.,local_pdf_preflight_pass,1
C03,Remaining useful life prediction of aero-engine enabled by fusing knowledge and deep learning models,2023,Reliability Engineering & System Safety,10.1016/j.ress.2022.108869,C-MAPSS FD001; FD002; FD003; FD004,no,none,no,full text pp. 1-16; Results pp. 8-14,"The paper reports point RUL predictions. Mean and standard deviation over repeated model runs and the ablation called knowledge uncertainty concern run variability or sensor-relationship assumptions, not predictive uncertainty for an individual RUL prediction.","No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C04,Dynamic predictive maintenance strategy for system remaining useful life prediction via deep learning ensemble method,2024,Reliability Engineering & System Safety,10.1016/j.ress.2024.110012,C-MAPSS FD001; separate PHM08 experiment,no,none,no,full text pp. 1-12; Methods pp. 4-7; Results pp. 8-10,The ensemble is used to produce a point RUL estimate for maintenance decisions. Dataset descriptive standard deviations and best-of-run reporting are not predictive uncertainty outputs.,"No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C05,A prognostic driven predictive maintenance framework based on Bayesian deep learning,2023,Reliability Engineering & System Safety,10.1016/j.ress.2023.109181,C-MAPSS FD001,multiple,multiple,no,"Methods pp. 2-4; Results pp. 7-8, Table 2 and Figs. 4-5","A Bayesian BiLSTM/FNN framework models epistemic and aleatoric uncertainty, uses stochastic forward passes, and outputs a predictive RUL distribution plus 95% intervals.","Selected-engine intervals are shown, but no aggregate nominal-versus-empirical coverage or calibration assessment is reported on an independent validation/test set.",local_pdf_preflight_pass,1
C06,Sensor-aware CapsNet: Towards trustworthy multisensory fusion for remaining useful life prediction,2024,Journal of Manufacturing Systems,10.1016/j.jmsy.2023.11.009,C-MAPSS FD001; FD002; FD003; FD004,interval,mc_dropout,no,"Methods pp. 2, 4-5; Results pp. 7 and 9, Section 4.4",Capsule dropout uses Monte Carlo sampling to generate RUL confidence intervals and prediction standard deviations; the paper proposes an uncertainty coverage score (UCS).,UCS scores interval reasonability rather than reporting empirical coverage/calibration against the nominal level on an independent untouched evaluation split; test metrics are also monitored across training/dropout choices.,local_pdf_preflight_pass,1
C07,An attention-based temporal convolutional network method for predicting remaining useful life of aero-engine,2024,Engineering Applications of Artificial Intelligence,10.1016/j.engappai.2023.107241,C-MAPSS FD001; FD002; FD003; FD004,no,none,no,full text pp. 1-13; Results pp. 8-11,The attention-based TCN reports point RUL predictions and point-error metrics across sliding test samples.,"No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C08,Bi-LSTM-Based Two-Stream Network for Machine Remaining Useful Life Prediction,2022,IEEE Transactions on Instrumentation and Measurement,10.1109/tim.2022.3167778,C-MAPSS FD001; FD002; FD003; FD004,no,none,no,full text pp. 1-10; Results pp. 6-7,The two-stream Bi-LSTM reports point RUL estimates with RMSE/NASA-style metrics; fold allocation does not create a predictive uncertainty output.,"No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C09,Global attention mechanism based deep learning for remaining useful life prediction of aero-engine,2023,Measurement,10.1016/j.measurement.2023.113098,C-MAPSS FD001; FD002; FD003; FD004,no,none,no,full text pp. 1-10; Results pp. 6-9,The global-attention model produces point RUL estimates and reports RMSE/Score comparisons.,"No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C10,Remaining Useful Life Prediction on C-MAPSS Dataset via Joint Autoencoder-Regression Architecture,2022,30th Signal Processing and Communications Applications Conference (SIU),10.1109/siu55565.2022.9864796,C-MAPSS FD001,no,none,no,full text pp. 1-4; Results pp. 3-4,The joint autoencoder-regression architecture selects and reports point RUL predictions; search across models and noise levels is not predictive UQ.,"No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C11,Remaining useful life prediction for turbofan engines using an attention-based data-driven deep-learning approach,2025,PeerJ Computer Science,10.7717/peerj-cs.3438,C-MAPSS FD001; FD003,no,none,no,full text pp. 1-31; Methods pp. 7-16; Results pp. 17-24,"The attention DAB-LSTM reports point predictions with RMSE, NASA Score, and MAE. Neither the paper nor its inspected supplement implements predictive intervals or distributions.","No predictive interval, distribution, set, or coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C12,A Statistical Analysis of the State-of-the-Art Transformer-Based Remaining Useful Life Models on C-MAPSS FD001,2026,DATA 2026,10.5220/0015076000004091,C-MAPSS FD001,no,none,no,full text pp. 1-8; Methods/Results pp. 3-7,"The study reports confidence intervals and dispersion for RMSE/NASA metrics across 30 independent reproductions. These quantify run-level performance variation, not uncertainty of an individual RUL prediction.","No predictive interval, distribution, set, or predictive coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
C13,A Hybrid CNN-GRU Approach for Robust and Explainable Remaining Useful Life Prediction of Turbofan Engines,2026,International Journal of Energy Research,10.1155/er/7022062,C-MAPSS FD001; FD002; FD003; FD004,no,none,no,remote exact full text; Experimental setup and Results and discussion sections in the 20-page institutional PDF,The CNN-GRU study reports point RUL predictions and mean plus standard deviation over three runs; explainability analysis does not provide predictive UQ.,"No predictive interval, distribution, set, or coverage/calibration evaluation was found in the remotely assessed exact full text.",remote_exact_fulltext_no_local_preflight,1
C14,Leakage-Robust Evaluation and Data-Scale Sensitivity of Attention-Enhanced Multi-Task Learning for Joint Fault Diagnosis and Remaining Useful Life Estimation,2026,arXiv,10.48550/arxiv.2607.16493,C-MAPSS FD001,no,none,no,full text pp. 1-52; statistical protocol pp. 22-30; Results pp. 25-39,"The reported 95% confidence intervals, ANOVA, and Tukey analyses summarize performance across five seeds and protocol conditions. They are not prediction intervals for RUL outputs.","No predictive interval, distribution, set, or predictive coverage/calibration evaluation is reported.",local_pdf_preflight_pass,1
