paper_id,title,year,venue,doi,source_url,dataset_subsets,label_type,rul_cap,sensor_set,sensor_selection_rule,window_length,window_stride,normalization_method,normalization_fit_scope,test_window_policy,metrics,seeds,repetitions,variance_reported,code_available,notes,verification_status
C01,"A Deep Learning Model for Remaining Useful Life Prediction of Aircraft Turbofan Engine on C-MAPSS Dataset",2022,"IEEE Access",10.1109/access.2022.3203406,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09874872.pdf?tp=&arnumber=9874872&isnumber=9668973&ref=,"C-MAPSS FD001; FD002; FD003; FD004","subdataset-specific piecewise-linear RUL; plateau/initial RUL inferred from training by non-overlapping sensor windows and thresholded centroid-distance knee detection","FD001=78; FD002=103; FD003=79; FD004=87","FD001=14/24 features; FD002=24/24; FD003=16/24; FD004=24/24; 24 comprises 21 sensors + 3 operating settings","correlation with RUL; FD001 excludes op-1/op-2/op-3 and sensors 1/5/6/10/16/18/19 at r<=10%; FD003 excludes op-1/op-2/op-3 and sensors 1/5/16/18/19 at r<=10%; FD002/FD004 retain all 24 at r>5%","label-knee search windows 5 or 12; selected 12 for all subsets; LSTM input sequence length NR","label-knee windows are non-overlapping; model-input stride NR","per-feature z-score after moving-median filtering","NR; formula uses each sensor output mean/SD and the flowchart preprocesses before train/test branching, so train-only fitting cannot be confirmed","one engine-level RUL prediction per official test engine at its final observed trajectory endpoint; temporal sequence packaging/aggregation NR","RMSE; PHM08/NASA Score",NR,"NR; hundreds of hyperparameter configurations/runs are reported but not independent repeated trials","no SD/CI or repeated-run distribution","no repository; MATLAB implementation only described","Validation set appears only as an undefined Algorithm 2 symbol; no validation split is constructed. Four architectures plus window/threshold grids are selected by the lowest reported RMSE/Score, so test-set reuse cannot be ruled out. The reported window 12 controls label-knee detection, not a documented LSTM sample window.",full_text_verified_pdf_pass
C05,"A prognostic driven predictive maintenance framework based on Bayesian deep learning",2023,"Reliability Engineering & System Safety",10.1016/j.ress.2023.109181,https://zhuangliangliang.com/images/paper/Zhuang-2023-RESS.pdf,"C-MAPSS FD001","piecewise-linear RUL; linear decline with a maximum value of 125",125,"all 21 sensor signals + 3 operational variables + cycle time (25 inputs)","none; the paper explicitly states that no feature-extraction step is used",25,NR,"min-max normalization applied to each window/sample","NR; the text says each sample is normalized but does not state whether bounds are per-window or fitted on training data","official 100-engine test set: one RUL error per engine at the official truncated endpoint for SC/RMSE/AC; separate PdM evaluation uses complete FD001 training trajectories with units 1-80 for network training and units 81-100 for performance validation; uncertainty examples query selected test engines at multiple cycles","PHM08/NASA Score; RMSE; accuracy within [-13,10]; 95% predictive intervals; maintenance cost rate",NR,"20 simulations for the prognostic comparison; 1000 stochastic forward passes per test evaluation","predictive intervals are reported for selected engines; no seed list or run-level SD/CI for the 20 simulations","no code repository located; Keras/TensorFlow in Google Colab is described","Cross-validation is mentioned for loss-weight tuning without fold or allocation details. The official test evaluation and the separate 80/20 split of complete training trajectories serve different purposes and must not be conflated. Table 1 reports one aggregate SC/RMSE/AC row after 20 simulations without run-level dispersion.",full_text_verified_pdf_pass
C11,"Remaining useful life prediction for turbofan engines using an attention-based data-driven deep-learning approach",2025,"PeerJ Computer Science",10.7717/peerj-cs.3438,https://peerj.com/articles/cs-3438.pdf,"C-MAPSS FD001; FD003","piecewise-linear RUL; RUL=max_cycle-current_cycle capped at 150",150,"13 sensors: 2,3,4,7,8,9,11,12,13,14,15,17,21","sensors 1,5,6,10,16,18,19 excluded as constant; sensor 20 is neither retained nor explained","FD001=31; FD003=60",1,"z-score normalization","fit scope NR","paper evaluates predictions for test samples/windows; final-window or engine-level aggregation NR; official Python supplement passes test windows as validation data","RMSE; NASA Score; MAE","NR; supplement declares random_state=1 but does not apply it",NR,"no SD/CI or repeated-run distribution","Official Python and Markdown supplements exist but are incomplete/non-executable and protocol-inconsistent","Table 5/7 report FD001 Score=212.18 while Table 6 reports 217.18; ablation prose claims three architectures but its table only lists FD001/FD003 final results; limitations says exclusive FD001 despite FD003 results; comparisons reuse literature values; supplement has placeholder feature/sequence code, uses test as validation, specifies 100 epochs and MSE versus the paper's 120 epochs and Score loss, and omits FD003",full_text_verified_pdf_pass
C13,"A Hybrid CNN-GRU Approach for Robust and Explainable Remaining Useful Life Prediction of Turbofan Engines",2026,"International Journal of Energy Research",10.1155/er/7022062,https://acikerisim.dicle.edu.tr/bitstreams/2609b5bf-4d16-4f23-ba2c-131e3118c1b8/download,"C-MAPSS FD001; FD002; FD003; FD004","piecewise-linear RUL with cap 125",125,"all 21 sensors + 3 operating settings","no manual feature selection; all channels retained",30,1,"feature normalization; exact transform NR","fit on engine-wise training split only; applied unchanged to validation/test","FD001 training engines split 80/20 train/validation; official test engines kept unseen; final test-window or engine-level aggregation NR","RMSE; MAE; MAPE; R2","42 declared for all experiments; robustness section also says different random seeds, other values NR",3,"mean +/- SD over three runs",NR,"AdamW lr=0.001 weight decay=0.01 batch=128 maximum 150 epochs with early stopping; Table 2 reports FD001-FD004; an experimental-setup passage says all experiments used FD001; seed wording is internally inconsistent; exact institutional PDF text was remotely assessed but direct download remains HTTP 403 and no local preflight exists",full_text_verified_remote_institutional_pdf_no_local_preflight
C14,"Leakage-Robust Evaluation and Data-Scale Sensitivity of Attention-Enhanced Multi-Task Learning for Joint Fault Diagnosis and Remaining Useful Life Estimation",2026,arXiv,10.48550/arxiv.2607.16493,https://arxiv.org/pdf/2607.16493,"C-MAPSS FD001", "RUL=min(cycle_max-cycle,125); four RUL-threshold classes",125,"14 sensors + 2 operating settings (16 features)","7 near-zero-variance sensors removed; IDs not stated",30,1,"MinMaxScaler features; RobustScaler RUL","fit on train windows only; applied to val/test","chunk windows; 70/15/15 chunk split; 2,520 test windows", "RMSE; MAE; R2; classification metrics; no NASA Score", "42,123,2024,7,99",5,"mean +/- SD; 95% CI; one-way ANOVA and Tukey HSD",NR,"Leakage audit compares row-random, window-random and chunk-based protocols; SMOTE only on train",full_text_verified_pdf_pass
C15,"Effects of Window and Batch Size on Autoencoder-LSTM Models for Remaining Useful Life Prediction",2026,Machines,10.3390/machines14020135,https://mdpi.com/2075-1702/14/2/135,"C-MAPSS FD001; FD004","RUL=max_cycle-cycle for train; training cap 125; official test labels",125,"17 input features: 14 dynamic sensors + 3 settings","constant sensors 1,5,6,10,16,18,19 removed", "10-100 cycles (step 2)",1,"MinMaxScaler to [0,1]","fit exclusively on training set; validation application not explicit","one last W-length window per test engine; edge-pad if shorter", "RMSE; C-MAPSS Score; MAE; R2; training time; bootstrap 95% CI", "5 random seeds (values NR)",5,"mean; 95% bootstrap CI; Wilcoxon paired tests; seed variability",NR,"20% of training units reserved for validation; train-only AE pretraining; official test units",full_text_verified_pdf_pass
C20,"Aircraft Engine Run-to-Failure Dataset under Real Flight Conditions for Prognostics and Diagnostics",2021,Data,10.3390/data6010005,https://doi.org/10.3390/data6010005,"N-CMAPSS DS01-DS08","RUL provided in cycles; no label cap specified",NR,"14 measured sensors + 14 virtual sensors; 4 scenario descriptors; 10 health parameters","dataset paper; no model sensor-selection rule",NR,NR,"dataset paper does not prescribe normalization","NR","development/test HDF5 files with unit and cycle identifiers; no model test-window policy", "RMSE and NASA scoring function definitions",NR,NR,"dataset technical validation; no repeated model seeds", "Jupyter notebooks provided by NASA repository", "dataset anchor; not counted as a model-paper protocol cell",full_text_verified_pdf_pass
C21,"ProgNet: A Transferable Deep Network for Aircraft Engine Damage Propagation Prognosis under Real Flight Conditions",2023,Aerospace,10.3390/aerospace10010010,https://doi.org/10.3390/aerospace10010010,"N-CMAPSS DS01-DS08; entire target dataset", "RUL in cycles; no cap described",NR,"14 measured features reduced by PCA to 5, then correlation-selected features","wavelet denoising; PCA and correlation heatmap; exact final count NR",NR,NR,"min-max normalization after denoising/PCA","fit scope not reported","entire N-CMAPSS target dataset fine-tuned; independent test isolation not described", "RMSE; NASA-style score S; 90/95/99% confidence intervals",NR,NR,"single reported run; uncertainty intervals; no seed distribution", "MATLAB File Exchange preparation/application example", "formal citation year 2023 after December 2022 online publication; transfer from PrognosEase synthetic source domain; manual trial-and-error hyperparameters",full_text_verified_pdf_pass
C22,"Performance Benchmarking and Analysis of Prognostic Methods for CMAPSS Datasets",2014,"International Journal of Prognostics and Health Management",10.36001/ijphm.2014.v5i2.2236,https://doi.org/10.36001/ijphm.2014.v5i2.2236,"C-MAPSS datasets #1-#5","cross-paper review; no single label construction",NR,"cross-paper; sensor subsets vary by reviewed publication", "review reports common sensor down-selection and normalization guidance",NR,NR,"cross-paper; normalization/operating-condition adjustment varies",NR,"NASA train/test datasets; recommendations include held-out validation where applicable", "PHM08 Score; MSE; FPR; FNR; MAPE; MAE; correlation; dispersion measures",NR,NR,"reported benchmark tables and cross-paper comparisons; no common seed protocol",NR,"historical synthesis and benchmark guidance; not a reproducible single-model cell",full_text_verified_pdf_pass
C23,"Review and Analysis of Algorithmic Approaches Developed for Prognostics on CMAPSS Dataset",2014,"PHM Society Conference",10.36001/phmconf.2014.v6i1.2512,https://doi.org/10.36001/phmconf.2014.v6i1.2512,"C-MAPSS datasets #1-#5","cross-paper review; test RUL supplied for datasets #1-#4; no single cap",NR,"cross-paper; reviewed methods use heterogeneous sensor subsets", "review notes sensor down-selection and operating-condition normalization",NR,NR,"cross-paper and method dependent",NR,"train/test repositories; recommends internal train/validation splits during development", "PHM08 Score plus error and classification measures by reviewed paper",NR,NR,"review-level summary; no common repetitions or variance contract",NR,"historical review anchor; protocol fields are heterogeneous by design",full_text_verified_pdf_pass
